K,Model,CV_Recall,CV_F1,HL_Test
50,MultinomialNB,0.628258,0.658914,0.23449612403100775
50,LogisticRegression,0.75351,0.697796,0.25
50,RandomForest,0.882382,0.875515,0.0939922480620155
50,DeepLearning,0.7878,0.7907,0.21027131782945738
100,MultinomialNB,0.695502,0.74027,0.20038167938931298
100,LogisticRegression,0.794995,0.750938,0.23377862595419846
100,RandomForest,0.897233,0.893223,0.1049618320610687
100,DeepLearning,0.824,0.8295,0.1946564885496183
150,MultinomialNB,0.710682,0.74536,0.187015503875969
150,LogisticRegression,0.79973,0.758862,0.20736434108527133
150,RandomForest,0.905943,0.902909,0.09496124031007752
150,DeepLearning,0.8514,0.852,0.14922480620155038
200,MultinomialNB,0.746604,0.782834,0.1926070038910506
200,LogisticRegression,0.818398,0.781878,0.21498054474708173
200,RandomForest,0.911175,0.906779,0.07976653696498054
200,DeepLearning,0.8613,0.8616,0.14591439688715954
250,MultinomialNB,0.780765,0.812119,0.1724137931034483
250,LogisticRegression,0.855577,0.82275,0.1839080459770115
250,RandomForest,0.912209,0.907407,0.09195402298850575
250,DeepLearning,0.8854,0.879,0.1475095785440613
300,MultinomialNB,0.765181,0.79689,0.1533203125
300,LogisticRegression,0.841006,0.806799,0.1748046875
300,RandomForest,0.909546,0.904452,0.0751953125
300,DeepLearning,0.8831,0.883,0.1455078125
350,MultinomialNB,0.778042,0.807053,0.14903846153846154
350,LogisticRegression,0.831273,0.798575,0.18365384615384617
350,RandomForest,0.923827,0.918959,0.05961538461538462
350,DeepLearning,0.8933,0.8907,0.1346153846153846
400,MultinomialNB,0.837376,0.857642,0.15839694656488548
400,LogisticRegression,0.872665,0.838768,0.16221374045801526
400,RandomForest,0.923115,0.917418,0.07251908396946564
400,DeepLearning,0.8971,0.8912,0.11164122137404581
450,MultinomialNB,0.778052,0.812591,0.15636704119850187
450,LogisticRegression,0.844927,0.816001,0.17696629213483145
450,RandomForest,0.92372,0.916972,0.08239700374531835
450,DeepLearning,0.9072,0.9023,0.13202247191011235
500,MultinomialNB,0.777028,0.808165,0.17884615384615385
500,LogisticRegression,0.829626,0.798277,0.1875
500,RandomForest,0.925965,0.919206,0.10096153846153846
500,DeepLearning,0.9029,0.8953,0.15576923076923077
550,MultinomialNB,0.805641,0.838865,0.15935114503816794
550,LogisticRegression,0.868836,0.838727,0.183206106870229
550,RandomForest,0.924815,0.919148,0.08969465648854962
550,DeepLearning,0.9141,0.9075,0.1450381679389313
600,MultinomialNB,0.806081,0.837573,0.154296875
600,LogisticRegression,0.860818,0.831433,0.193359375
600,RandomForest,0.929834,0.922971,0.107421875
600,DeepLearning,0.909,0.9045,0.1611328125
650,MultinomialNB,0.807058,0.83663,0.14122137404580154
650,LogisticRegression,0.843243,0.809993,0.15458015267175573
650,RandomForest,0.911422,0.902763,0.06679389312977099
650,DeepLearning,0.8892,0.8847,0.13072519083969467
700,MultinomialNB,0.84777,0.863114,0.1605769230769231
700,LogisticRegression,0.874239,0.846129,0.17211538461538461
700,RandomForest,0.911445,0.905388,0.08942307692307692
700,DeepLearning,0.896,0.8925,0.1451923076923077
750,MultinomialNB,0.808841,0.837249,0.13662790697674418
750,LogisticRegression,0.859395,0.83267,0.15213178294573643
750,RandomForest,0.925515,0.917699,0.0998062015503876
750,DeepLearning,0.9133,0.9097,0.13372093023255813
800,MultinomialNB,0.871564,0.879819,0.125
