K,Model,CV_Recall,CV_F1,HL_Test
50,MultinomialNB,0.5576,0.514734,0.2885304659498208
50,LogisticRegression,0.563927,0.52642,0.2849462365591398
50,RandomForest,0.702558,0.692887,0.26523297491039427
50,DeepLearning,0.7176,0.7102,0.24551971326164876
100,MultinomialNB,0.595147,0.563207,0.25985663082437277
100,LogisticRegression,0.600377,0.569813,0.253584229390681
100,RandomForest,0.724964,0.731856,0.22759856630824374
100,DeepLearning,0.7571,0.7593,0.2078853046594982
150,MultinomialNB,0.599358,0.569459,0.246415770609319
150,LogisticRegression,0.607913,0.578079,0.24014336917562723
150,RandomForest,0.712249,0.725141,0.20430107526881722
150,DeepLearning,0.7773,0.7756,0.18906810035842295
200,MultinomialNB,0.606832,0.577216,0.25
200,LogisticRegression,0.613462,0.583832,0.24910394265232974
200,RandomForest,0.730629,0.742825,0.2007168458781362
200,DeepLearning,0.7776,0.7772,0.19265232974910393
250,MultinomialNB,0.611457,0.581696,0.2446236559139785
250,LogisticRegression,0.612652,0.583121,0.235663082437276
250,RandomForest,0.731981,0.741786,0.20340501792114696
250,DeepLearning,0.7688,0.7701,0.19086021505376344
300,MultinomialNB,0.615634,0.586668,0.239247311827957
300,LogisticRegression,0.621102,0.591948,0.22132616487455198
300,RandomForest,0.728189,0.748682,0.18189964157706093
300,DeepLearning,0.7853,0.7857,0.17383512544802868
350,MultinomialNB,0.626252,0.597654,0.22849462365591397
350,LogisticRegression,0.618335,0.589031,0.22132616487455198
350,RandomForest,0.721576,0.740747,0.17114695340501793
350,DeepLearning,0.779,0.7816,0.16756272401433692
400,MultinomialNB,0.630842,0.604705,0.22311827956989247
400,LogisticRegression,0.624637,0.595594,0.2168458781362007
400,RandomForest,0.737411,0.756213,0.16577060931899643
400,DeepLearning,0.7821,0.7847,0.15770609318996415
450,MultinomialNB,0.63676,0.614674,0.22043010752688172
450,LogisticRegression,0.624199,0.59519,0.21505376344086022
450,RandomForest,0.732899,0.755497,0.16487455197132617
450,DeepLearning,0.7903,0.7906,0.16308243727598568
500,MultinomialNB,0.636799,0.614547,0.2168458781362007
500,LogisticRegression,0.625132,0.596314,0.22043010752688172
500,RandomForest,0.735576,0.753232,0.16845878136200718
500,DeepLearning,0.7776,0.7876,0.1586021505376344
550,MultinomialNB,0.644826,0.624921,0.21774193548387097
550,LogisticRegression,0.629886,0.600988,0.20878136200716846
550,RandomForest,0.739986,0.761143,0.1532258064516129
550,DeepLearning,0.7902,0.7905,0.15949820788530467
600,MultinomialNB,0.644777,0.624911,0.20878136200716846
600,LogisticRegression,0.629396,0.600619,0.20430107526881722
600,RandomForest,0.730859,0.751709,0.1586021505376344
600,DeepLearning,0.7886,0.7969,0.15232974910394265
650,MultinomialNB,0.649315,0.631582,0.2132616487455197
650,LogisticRegression,0.637565,0.609003,0.2060931899641577
650,RandomForest,0.740813,0.762446,0.16666666666666666
650,DeepLearning,0.788,0.7949,0.1550179211469534
700,MultinomialNB,0.650645,0.632983,0.2168458781362007
700,LogisticRegression,0.639816,0.611166,0.21774193548387097
